Year,Month,YearMonth,Port1,Port2,Route,$Value,$Real
2010,1,201001,Newcastle,Gold Coast,Newcastle - Gold Coast,130.0,191.04
2010,2,201002,Adelaide,Brisbane,Adelaide - Brisbane,278.0,408.53
2010,2,201002,Adelaide,Canberra,Adelaide - Canberra,274.0,402.65
2010,2,201002,Adelaide,Darwin,Adelaide - Darwin,579.0,850.86
2010,2,201002,Adelaide,Gold Coast,Adelaide - Gold Coast,135.6,199.27
2010,2,201002,Adelaide,Melbourne,Adelaide - Melbourne,81.6,119.91
2010,2,201002,Adelaide,Perth,Adelaide - Perth,368.0,540.79
2010,2,201002,Adelaide,Port Lincoln,Adelaide - Port Lincoln,177.66,261.08
2010,2,201002,Adelaide,Sydney,Adelaide - Sydney,117.6,172.82
2010,2,201002,Albury,Sydney,Albury - Sydney,138.0,202.8
2010,2,201002,Alice Springs,Darwin,Alice Springs - Darwin,508.0,746.53
2010,2,201002,Alice Springs,Melbourne,Alice Springs - Melbourne,176.0,258.64
2010,2,201002,Alice Springs,Sydney,Alice Springs - Sydney,538.0,790.61
2010,2,201002,Avalon,Brisbane,Avalon - Brisbane,178.0,261.58
2010,2,201002,Avalon,Sydney,Avalon - Sydney,98.0,144.01
2010,2,201002,Ayers Rock,Cairns,Ayers Rock - Cairns,838.0,1231.47
2010,2,201002,Ayers Rock,Sydney,Ayers Rock - Sydney,818.0,1202.08
2010,2,201002,Ballina,Sydney,Ballina - Sydney,178.0,261.58
2010,2,201002,Brisbane,Cairns,Brisbane - Cairns,208.0,305.66
2010,2,201002,Brisbane,Canberra,Brisbane - Canberra,178.0,261.58
2010,2,201002,Brisbane,Darwin,Brisbane - Darwin,248.0,364.45
2010,2,201002,Brisbane,Emerald,Brisbane - Emerald,369.0,542.26
2010,2,201002,Brisbane,Gladstone,Brisbane - Gladstone,254.0,373.26
2010,2,201002,Brisbane,Hamilton Island,Brisbane - Hamilton Island,158.0,232.19
2010,2,201002,Brisbane,Hobart,Brisbane - Hobart,508.0,746.53
2010,2,201002,Brisbane,Mackay,Brisbane - Mackay,178.0,261.58
2010,2,201002,Brisbane,Melbourne,Brisbane - Melbourne,238.0,349.75
2010,2,201002,Brisbane,Mount Isa,Brisbane - Mount Isa,544.0,799.43
2010,2,201002,Brisbane,Perth,Brisbane - Perth,438.0,643.66
2010,2,201002,Brisbane,Proserpine,Brisbane - Proserpine,158.0,232.19
2010,2,201002,Brisbane,Rockhampton,Brisbane - Rockhampton,87.0,127.85
2010,2,201002,Brisbane,Sydney,Brisbane - Sydney,148.0,217.49
2010,2,201002,Brisbane,Townsville,Brisbane - Townsville,188.0,276.27
2010,2,201002,Brisbane,Newcastle,Brisbane - Newcastle,88.0,129.32
2010,2,201002,Broome,Perth,Broome - Perth,278.0,408.53
2010,2,201002,Bundaberg,Brisbane,Bundaberg - Brisbane,274.0,402.65
2010,2,201002,Cairns,Melbourne,Cairns - Melbourne,378.0,555.49
2010,2,201002,Cairns,Sydney,Cairns - Sydney,358.0,526.09
2010,2,201002,Cairns,Townsville,Cairns - Townsville,118.0,173.41
2010,2,201002,Canberra,Melbourne,Canberra - Melbourne,76.0,111.68
2010,2,201002,Canberra,Sydney,Canberra - Sydney,128.0,188.1
2010,2,201002,Coffs Harbour,Sydney,Coffs Harbour - Sydney,219.0,321.83
2010,2,201002,Darwin,Melbourne,Darwin - Melbourne,318.0,467.31
2010,2,201002,Darwin,Perth,Darwin - Perth,398.0,584.88
2010,2,201002,Darwin,Sydney,Darwin - Sydney,438.0,643.66
2010,2,201002,Devonport,Melbourne,Devonport - Melbourne,270.0,396.78
2010,2,201002,Dubbo,Sydney,Dubbo - Sydney,248.0,364.45
2010,2,201002,Geraldton,Perth,Geraldton - Perth,363.0,533.44
2010,2,201002,Gold Coast,Sydney,Gold Coast - Sydney,76.0,111.68
2010,2,201002,Hamilton Island,Sydney,Hamilton Island - Sydney,268.0,393.84
2010,2,201002,Hervey Bay,Sydney,Hervey Bay - Sydney,380.0,558.42
2010,2,201002,Hobart,Melbourne,Hobart - Melbourne,66.0,96.99
2010,2,201002,Hobart,Sydney,Hobart - Sydney,208.0,305.66
2010,2,201002,Kalgoorlie,Perth,Kalgoorlie - Perth,355.0,521.69
2010,2,201002,Karratha,Perth,Karratha - Perth,368.0,540.79
2010,2,201002,Launceston,Melbourne,Launceston - Melbourne,103.0,151.36
2010,2,201002,Launceston,Sydney,Launceston - Sydney,209.9,308.46
2010,2,201002,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,196.0,288.03
2010,2,201002,Sunshine Coast,Sydney,Sunshine Coast - Sydney,258.0,379.14
2010,2,201002,Melbourne,Gold Coast,Melbourne - Gold Coast,136.0,199.86
2010,2,201002,Melbourne,Mildura,Melbourne - Mildura,150.0,220.43
2010,2,201002,Melbourne,Perth,Melbourne - Perth,358.0,526.09
2010,2,201002,Melbourne,Sydney,Melbourne - Sydney,66.0,96.99
2010,2,201002,Melbourne,Newcastle,Melbourne - Newcastle,150.0,220.43
2010,2,201002,Paraburdoo,Perth,Paraburdoo - Perth,429.0,630.43
2010,2,201002,Perth,Newman,Perth - Newman,358.0,526.09
2010,2,201002,Perth,Port Hedland,Perth - Port Hedland,328.0,482.01
2010,2,201002,Perth,Sydney,Perth - Sydney,434.0,637.78
2010,2,201002,Port Macquarie,Sydney,Port Macquarie - Sydney,158.0,232.19
2010,2,201002,Sydney,Tamworth,Sydney - Tamworth,225.0,330.65
2010,2,201002,Sydney,Townsville,Sydney - Townsville,248.0,364.45
2010,2,201002,Sydney,Wagga Wagga,Sydney - Wagga Wagga,214.0,314.48
2010,2,201002,Newcastle,Gold Coast,Newcastle - Gold Coast,110.0,161.65
2010,3,201003,Adelaide,Brisbane,Adelaide - Brisbane,238.0,349.75
2010,3,201003,Adelaide,Canberra,Adelaide - Canberra,274.0,402.65
2010,3,201003,Adelaide,Darwin,Adelaide - Darwin,378.0,555.49
2010,3,201003,Adelaide,Gold Coast,Adelaide - Gold Coast,156.0,229.25
2010,3,201003,Adelaide,Melbourne,Adelaide - Melbourne,86.0,126.38
2010,3,201003,Adelaide,Perth,Adelaide - Perth,358.0,526.09
2010,3,201003,Adelaide,Port Lincoln,Adelaide - Port Lincoln,212.86,312.81
2010,3,201003,Adelaide,Sydney,Adelaide - Sydney,106.0,155.77
2010,3,201003,Albury,Sydney,Albury - Sydney,174.0,255.7
2010,3,201003,Alice Springs,Darwin,Alice Springs - Darwin,428.0,628.96
2010,3,201003,Alice Springs,Melbourne,Alice Springs - Melbourne,226.0,332.12
2010,3,201003,Alice Springs,Sydney,Alice Springs - Sydney,498.0,731.83
2010,3,201003,Avalon,Brisbane,Avalon - Brisbane,278.0,408.53
2010,3,201003,Avalon,Sydney,Avalon - Sydney,98.0,144.01
2010,3,201003,Ayers Rock,Cairns,Ayers Rock - Cairns,698.0,1025.74
2010,3,201003,Ayers Rock,Sydney,Ayers Rock - Sydney,714.0,1049.25
2010,3,201003,Ballina,Sydney,Ballina - Sydney,188.0,276.27
2010,3,201003,Brisbane,Cairns,Brisbane - Cairns,258.0,379.14
2010,3,201003,Brisbane,Canberra,Brisbane - Canberra,193.0,283.62
2010,3,201003,Brisbane,Darwin,Brisbane - Darwin,274.0,402.65
2010,3,201003,Brisbane,Emerald,Brisbane - Emerald,316.0,464.37
2010,3,201003,Brisbane,Gladstone,Brisbane - Gladstone,218.0,320.36
2010,3,201003,Brisbane,Hamilton Island,Brisbane - Hamilton Island,138.0,202.8
2010,3,201003,Brisbane,Hobart,Brisbane - Hobart,608.0,893.48
2010,3,201003,Brisbane,Mackay,Brisbane - Mackay,144.0,211.61
2010,3,201003,Brisbane,Melbourne,Brisbane - Melbourne,228.0,335.05
2010,3,201003,Brisbane,Mount Isa,Brisbane - Mount Isa,544.0,799.43
2010,3,201003,Brisbane,Perth,Brisbane - Perth,558.0,820.0
2010,3,201003,Brisbane,Proserpine,Brisbane - Proserpine,198.0,290.97
2010,3,201003,Brisbane,Rockhampton,Brisbane - Rockhampton,108.0,158.71
2010,3,201003,Brisbane,Sydney,Brisbane - Sydney,148.0,217.49
2010,3,201003,Brisbane,Townsville,Brisbane - Townsville,298.0,437.92
2010,3,201003,Brisbane,Newcastle,Brisbane - Newcastle,78.0,114.62
2010,3,201003,Broome,Perth,Broome - Perth,304.0,446.74
2010,3,201003,Bundaberg,Brisbane,Bundaberg - Brisbane,320.0,470.25
2010,3,201003,Cairns,Melbourne,Cairns - Melbourne,358.0,526.09
2010,3,201003,Cairns,Sydney,Cairns - Sydney,338.0,496.7
2010,3,201003,Cairns,Townsville,Cairns - Townsville,158.0,232.19
2010,3,201003,Canberra,Melbourne,Canberra - Melbourne,106.0,155.77
2010,3,201003,Canberra,Sydney,Canberra - Sydney,138.0,202.8
2010,3,201003,Coffs Harbour,Sydney,Coffs Harbour - Sydney,178.0,261.58
2010,3,201003,Darwin,Melbourne,Darwin - Melbourne,398.0,584.88
2010,3,201003,Darwin,Perth,Darwin - Perth,448.0,658.35
2010,3,201003,Darwin,Sydney,Darwin - Sydney,388.0,570.18
2010,3,201003,Devonport,Melbourne,Devonport - Melbourne,270.0,396.78
2010,3,201003,Dubbo,Sydney,Dubbo - Sydney,248.0,364.45
2010,3,201003,Geraldton,Perth,Geraldton - Perth,444.0,652.47
2010,3,201003,Gold Coast,Sydney,Gold Coast - Sydney,86.0,126.38
2010,3,201003,Hamilton Island,Sydney,Hamilton Island - Sydney,374.0,549.61
2010,3,201003,Hervey Bay,Sydney,Hervey Bay - Sydney,350.0,514.34
2010,3,201003,Hobart,Melbourne,Hobart - Melbourne,56.0,82.29
2010,3,201003,Hobart,Sydney,Hobart - Sydney,198.0,290.97
2010,3,201003,Kalgoorlie,Perth,Kalgoorlie - Perth,359.0,527.56
2010,3,201003,Karratha,Perth,Karratha - Perth,358.0,526.09
2010,3,201003,Launceston,Melbourne,Launceston - Melbourne,56.0,82.29
2010,3,201003,Launceston,Sydney,Launceston - Sydney,249.9,367.24
2010,3,201003,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,156.0,229.25
2010,3,201003,Sunshine Coast,Sydney,Sunshine Coast - Sydney,208.0,305.66
2010,3,201003,Melbourne,Gold Coast,Melbourne - Gold Coast,186.0,273.33
2010,3,201003,Melbourne,Mildura,Melbourne - Mildura,198.0,290.97
2010,3,201003,Melbourne,Perth,Melbourne - Perth,376.0,552.55
2010,3,201003,Melbourne,Sydney,Melbourne - Sydney,66.0,96.99
2010,3,201003,Melbourne,Newcastle,Melbourne - Newcastle,158.0,232.19
2010,3,201003,Paraburdoo,Perth,Paraburdoo - Perth,409.0,601.04
2010,3,201003,Perth,Newman,Perth - Newman,348.0,511.4
2010,3,201003,Perth,Port Hedland,Perth - Port Hedland,358.0,526.09
2010,3,201003,Perth,Sydney,Perth - Sydney,478.0,702.44
2010,3,201003,Port Macquarie,Sydney,Port Macquarie - Sydney,158.0,232.19
2010,3,201003,Sydney,Tamworth,Sydney - Tamworth,190.0,279.21
2010,3,201003,Sydney,Townsville,Sydney - Townsville,228.0,335.05
2010,3,201003,Sydney,Wagga Wagga,Sydney - Wagga Wagga,214.0,314.48
2010,3,201003,Newcastle,Gold Coast,Newcastle - Gold Coast,154.0,226.31
2010,4,201004,Adelaide,Brisbane,Adelaide - Brisbane,198.0,289.15
2010,4,201004,Adelaide,Canberra,Adelaide - Canberra,224.0,327.11
2010,4,201004,Adelaide,Darwin,Adelaide - Darwin,348.0,508.2
2010,4,201004,Adelaide,Gold Coast,Adelaide - Gold Coast,127.0,185.46
2010,4,201004,Adelaide,Melbourne,Adelaide - Melbourne,38.0,55.49
2010,4,201004,Adelaide,Perth,Adelaide - Perth,298.0,435.18
2010,4,201004,Adelaide,Port Lincoln,Adelaide - Port Lincoln,177.76,259.59
2010,4,201004,Adelaide,Sydney,Adelaide - Sydney,116.0,169.4
2010,4,201004,Albury,Sydney,Albury - Sydney,118.0,172.32
2010,4,201004,Alice Springs,Darwin,Alice Springs - Darwin,508.0,741.85
2010,4,201004,Alice Springs,Melbourne,Alice Springs - Melbourne,186.0,271.62
2010,4,201004,Alice Springs,Sydney,Alice Springs - Sydney,538.0,785.66
2010,4,201004,Avalon,Brisbane,Avalon - Brisbane,198.0,289.15
2010,4,201004,Avalon,Sydney,Avalon - Sydney,78.0,113.91
2010,4,201004,Ayers Rock,Cairns,Ayers Rock - Cairns,808.0,1179.95
2010,4,201004,Ayers Rock,Sydney,Ayers Rock - Sydney,638.0,931.69
2010,4,201004,Ballina,Sydney,Ballina - Sydney,158.0,230.73
2010,4,201004,Brisbane,Cairns,Brisbane - Cairns,218.0,318.35
2010,4,201004,Brisbane,Canberra,Brisbane - Canberra,198.0,289.15
2010,4,201004,Brisbane,Darwin,Brisbane - Darwin,258.0,376.77
2010,4,201004,Brisbane,Emerald,Brisbane - Emerald,246.0,359.24
2010,4,201004,Brisbane,Gladstone,Brisbane - Gladstone,182.0,265.78
2010,4,201004,Brisbane,Hamilton Island,Brisbane - Hamilton Island,138.0,201.53
2010,4,201004,Brisbane,Hobart,Brisbane - Hobart,358.0,522.8
2010,4,201004,Brisbane,Mackay,Brisbane - Mackay,148.95,217.52
2010,4,201004,Brisbane,Melbourne,Brisbane - Melbourne,158.0,230.73
2010,4,201004,Brisbane,Mount Isa,Brisbane - Mount Isa,544.0,794.42
2010,4,201004,Brisbane,Perth,Brisbane - Perth,404.0,589.97
2010,4,201004,Brisbane,Proserpine,Brisbane - Proserpine,138.0,201.53
2010,4,201004,Brisbane,Rockhampton,Brisbane - Rockhampton,88.0,128.51
2010,4,201004,Brisbane,Sydney,Brisbane - Sydney,138.0,201.53
2010,4,201004,Brisbane,Townsville,Brisbane - Townsville,148.0,216.13
2010,4,201004,Brisbane,Newcastle,Brisbane - Newcastle,78.0,113.91
2010,4,201004,Broome,Perth,Broome - Perth,298.0,435.18
2010,4,201004,Bundaberg,Brisbane,Bundaberg - Brisbane,170.0,248.26
2010,4,201004,Cairns,Melbourne,Cairns - Melbourne,378.95,553.39
2010,4,201004,Cairns,Sydney,Cairns - Sydney,258.0,376.77
2010,4,201004,Cairns,Townsville,Cairns - Townsville,98.0,143.11
2010,4,201004,Canberra,Melbourne,Canberra - Melbourne,57.0,83.24
2010,4,201004,Canberra,Sydney,Canberra - Sydney,98.0,143.11
2010,4,201004,Coffs Harbour,Sydney,Coffs Harbour - Sydney,148.0,216.13
2010,4,201004,Darwin,Melbourne,Darwin - Melbourne,328.0,478.99
2010,4,201004,Darwin,Perth,Darwin - Perth,298.0,435.18
2010,4,201004,Darwin,Sydney,Darwin - Sydney,438.0,639.63
2010,4,201004,Devonport,Melbourne,Devonport - Melbourne,198.0,289.15
2010,4,201004,Dubbo,Sydney,Dubbo - Sydney,247.22,361.02
2010,4,201004,Geraldton,Perth,Geraldton - Perth,277.0,404.51
2010,4,201004,Gold Coast,Sydney,Gold Coast - Sydney,57.0,83.24
2010,4,201004,Hamilton Island,Sydney,Hamilton Island - Sydney,238.0,347.56
2010,4,201004,Hervey Bay,Sydney,Hervey Bay - Sydney,230.0,335.88
2010,4,201004,Hobart,Melbourne,Hobart - Melbourne,56.0,81.78
2010,4,201004,Hobart,Sydney,Hobart - Sydney,178.0,259.94
2010,4,201004,Kalgoorlie,Perth,Kalgoorlie - Perth,359.0,524.26
2010,4,201004,Karratha,Perth,Karratha - Perth,398.0,581.21
2010,4,201004,Launceston,Melbourne,Launceston - Melbourne,47.0,68.64
2010,4,201004,Launceston,Sydney,Launceston - Sydney,174.0,254.1
2010,4,201004,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,137.0,200.07
2010,4,201004,Sunshine Coast,Sydney,Sunshine Coast - Sydney,138.0,201.53
2010,4,201004,Melbourne,Gold Coast,Melbourne - Gold Coast,117.0,170.86
2010,4,201004,Melbourne,Mildura,Melbourne - Mildura,178.0,259.94
2010,4,201004,Melbourne,Perth,Melbourne - Perth,296.0,432.26
2010,4,201004,Melbourne,Sydney,Melbourne - Sydney,57.0,83.24
2010,4,201004,Melbourne,Newcastle,Melbourne - Newcastle,108.0,157.72
2010,4,201004,Paraburdoo,Perth,Paraburdoo - Perth,429.0,626.48
2010,4,201004,Perth,Newman,Perth - Newman,368.0,537.4
2010,4,201004,Perth,Port Hedland,Perth - Port Hedland,298.0,435.18
2010,4,201004,Perth,Sydney,Perth - Sydney,388.0,566.61
